Alimento,Medida usual,g ou ml,CHO (g),Calorias (kcal),Página do manual
Queijo Muçarela,1 fatia fina,20,0,65,134
Queijo muçarela de búfala,1 fatia média,15,0,43,134
Queijo Muçarela Light,1 fatia,15,0,38,134
Queijo Muçarela Vegano VidaVeg®,1 fatia,30,9,95,135
Queijo parmesão,1 fatia,30,0,116,135
Queijo parmesão ralado,1 colher de sopa,15,0,70,135
Queijo Polenghinho® Light,1 unidade,20,1,35,135
Queijo prato,1 fatia fina,15,0,59,135
Queijo provolone,1 fatia média,15,0,52,135
Queijo provolone Tirolez®,1 fatia,15,0,56,135
Queijo ricota,1 fatia média,35,1,54,135
Queijo roquefort,1 fatia pequena,20,0,71,135
Queijo roquefort nacional,1 fatia média,30,0,120,135
Queijo suiço,1 fatia média,30,0,120,135
Queijo tipo requeijão,1 fatia média,30,0,89,135
Queijo tofu,1 pedaço pequeno,10,0,7,135
Queijo-de-minas frescal,1 fatia média,30,1,73,135
Queijo-de-minas frescal light,1 fatia média,30,1,71,135
Queijo-do-reino Tirolez®,1 pedaço pequeno,30,0,108,135
Quentão,1/2 copo,100,34,295,135
Quiabo cozido,1 colher de sopa,15,1,6,135
Quibe assado,1 porção\pedaço médio,100,15,172,135
Quibe cru,1 porção\pedaço médio,100,20,126,135
Quibe frito,1 unidade média,50,9,127,135
Quibe frito (festa),1 unidade pequena,12,2,31,135
Quibe frito (Habib’s)®,1 unidade padrão\ média,85,14,152,135
Quibebe (Purê de abóbora),1 colher de sopa,25,3,22,135
Quiche de Espinafre,1 fatia média,100,14,155,135
Quiche de Presunto e Queijo,1 unidade média,50,10,259,135
Quiche de Queijo,1 unidade pequena,20,4,78,135
Quiche de Queijo Sadia®,1 fatia,113,21,357,135
Quindim,1 unidade média,35,15,111,135
Quindim,1 unidade grande,70,30,222,136
Quindim,1 unidade pequena,18,8,56,136
Quinoa (Grãos),1 colher de sopa,15,10,53,136
Quinoa em grãos Mãe Terra®,1/4 xícara de chá,45,26,153,136
"Rã, carne de (desfiada)",1 colher de sopa cheia,10,0,7,136
Rabada,1 unidade média,40,1,155,136
Rabada de Boi,1 porção,100,0,365,136
Rabanada,1 unidade média,60,19,175,136
Rabanada (preparada com vinho tinto),1 unidade média,60,19,149,136
Rabanada assada (preparada com leite condensado),1 unidade média,55,22,126,136
Rabanada com açúcar e canela em pó,1 porção,100,31,293,136
Rabanada frita simples (preparada com leite),1 unidade média,65,20,159,136
Rabanete cru,1 colher de sopa cheia,35,1,8,136
Rabanete cru,1 prato de sobremesa,100,3,14,136
Rap Comum Pullman®,1 unidade,40,20,110,136
Rap Integral Pullman®,1 unidade,40,20,120,136
Rap Light Pullman®,1 unidade,40,17,83,136
Rap10 Chocolate (Bimbo®),1 unidade,40,18,106,136
Rap10 Fibras (Bimbo®),1 unidade,40,17,109,136
Rap10 Fit (Bimbo®),1 unidade,40,21,101,136
Rap10 Original (Bimbo®),1 unidade,40,18,110,136
Rapadura,1 pedaço médio,55,48,194,136
Rapadura de Minas Rapadurinha®,1 unidade,25,22,86,136
Ratatouille,1 porção,107,6,77,136
Ravióli de carne,1 escumadeira,50,25,141,136
Ravióli de queijo,1 escumadeira,50,19,149,137
Red Bull ® - bebida energética tradicional,1 lata,250,28,110,137
Red Bull ® Sugar Free bebida energética,1 lata,250,2,10,137
Refresco comum com açúcar (média) - refresco de saquinho em pó,1 copo,200,15,56,137
Refresco Diet Clight®,1 copo,200,0,5,137
Refrigerante citrus (Schweppes)®,1 lata,350,42,170,137
Refrigerante comum (média),1 copo duplo,240,24,96,137
Refrigerante diet (média),1 copo duplo,240,0,0,137
Refrigerante zero (média),1 copo duplo,240,0,0,137
Repolho cozido (picado),1 colher de sopa cheia,10,0,1,137
Repolho cru (picado),1 colher de sopa cheia,10,0,2,137
Requeijão comum cremoso (média padrão),1 colher de sopa cheia,30,1,106,137
Requeijão cremoso Light,1 colher de sopa cheia,30,1,54,137
Requeijão Itambé® - sabores Ervas Finas ou Cheddar,1 e 1\2 colher de sopa,45,1,126,137
Requeijão Tradicional Vegano VidaVeg® de Castanha de Caju,1 colher de sopa,30,2,83,137
Risole (salgado),1 unidade média,35,14,145,137
Risole de Queijo,1 unidade,50,8,112,137
Risoto (média),1 colher de sopa,25,6,41,137
Risoto à grega Tio João®,1 colher de sopa rasa,15,12,53,137
Risoto de Camarão,1 colher de sopa cheia,25,6,45,137
Risoto de Frango,1 colher de sopa cheia,25,6,45,137
Rocombole Baunilha com recheio Chocolate Bauducco®,1 fatia,60,24,193,138
Rocombole de Doce de Leite,1 pedaço médio,80,45,232,138
Rocombole doce Pullman® (média),1 fatia,50,31,180,138
Rolinho Primavera,1 unidade,100,9,174,138
Roll cake de chocolate,1 unidade,38,22,143,138
Romã,1 unidade,50,7,28,138
Rosbife,1 fatia,50,0,83,138
Rosquinha 7 grãos Da Magrinha® (média dos sabores),1 unidade,8,4,22,138
Rosquinha de Cacau Cacau Suavipan®,1 pacote pequeno,30,18,98,138
Rosquinha de Coco Light Suavipan®,1 pacote,35,21,117,138
Rosquinhas de leite (média),1 unidade média,7,4,27,138
Rúcula,1 pires cheio,15,2,6,138
Ruffles® Batata Chips,1\2 xícara de chá,25,12,136,138
Ruffles® Batata Chips,1 pacote pequeno,60,29,338,138
Rum (40% álcool),1 dose padrão,50,0,115,138
Sagu cru,1 colher de sopa cheia,30,27,105,138
"Sagu de leite, tradicional",1 colher de sopa cheia,30,6,40,138
"Sagu tradicional, em vinho",1 colher de sopa cheia,20,6,29,138
Salada Agadir,1 porção,100,3,167,138
Salada Almanara,1 porção,100,9,156,138
Salada Caesar,1 porção grande,180,12,152,138
Salada Caesar,1 porção pequena,80,10,97,138
Salada com carne (Bob’s®),1 porção,160,3,483,138
Salada com frango empanado (Bob’s®),1 porção,180,17,418,138
Salada de batata com maionese,1 colher de sopa cheia,38,4,41,139
Salada de batata com maionese,1 Porção média,90,10,97,139
"Salada de frutas sem açúcar (laranja, banana, maçã e mamão)",1 copo pequeno,150,24,99,139
"Salada de frutas sem açúcar (laranja, banana, maçã e mamão)",1 colher de sopa cheia,38,6,24,139
"Salada de legumes com maionese (batata, cenoura e vagem)",1 colher de sopa cheia,38,3,36,139
"Salada de legumes cozida no vapor (couve- flor,cenoura, brócolis, batata e vagem)",1 Colher de sopa cheia,38,3,13,139
Salada Veggie (Bob’s®),1 porção,0,6,184,139
Salame,1 fatia média,5,0,20,139
Salgadinho Pingo d’ouro sabor bacon Elma Chips ®,1 e 1/2 xícara,25,8,90,139
Salmão defumado,1 porção,100,0,112,139
Salmão filé a milanesa (farinha de rosca e ovo),1 fatia média,100,17,362,139
"Salmão filé cozido ao molho branco (farinha de trigo, manteiga e leite)",1 filé médio,100,4,199,139
Salmão grelhado,1 fatia média,100,0,243,139
Salpicão de frango,1 colher de sopa cheia,25,1,37,139
Salsa crua,1 colher de sopa cheia,5,0,2,139
Salsão cru,1 colher de sopa cheia,19,0,3,139
Salsicha Comum,1 unidade,50,1,104,139
"Salsicha comum com molho de tomate (tomate, óleo, cebola e alho)",1 unidade,50,3,111,139
Salsicha de frango Sadia®,1 unidade média,50,1,99,140
Salsicha de peru Sadia®,1 unidade média,50,2,104,140
Salsicha envasada (em conserva) Oderich®,1 unidade média,50,0,70,140
Salsicha light,1 unidade média,30,3,36,140
Salsichão,1 unidade média,60,2,139,140
"Sanduíche americano (pão com presunto, queijo, alface, tomate, ovo e maionese)",1 unidade média,210,30,446,140
Sanduiche BMT italiano (Subway®),1 porção de 15cm,216,47,405,140
Sanduiche de almondegas (Subway®),1 porção de 15cm,379,61,498,140
Sanduiche de atum (Subway®),1 porção de 15cm,233,47,337,140
Sanduiche de carne e queijo (Subway®),1 porção de 15cm,234,48,344,140
"Sanduíche de frango (pão de forma, peito de frango grelhado, alface americana, cenoura crua e tomate)",1 unidade média,140,26,229,140
Sanduiche de frango (Subway®),1 porção de 15cm,228,48,331,140
Sanduiche de frango defumado c/ cream cheese (Subway®),1 porção de 15cm,232,47,372,140
Sanduiche de frango teriyaki (Subway®),1 porção de 15cm,237,61,361,140
Sanduíche de pão francês com salame,1 unidade,80,32,270,140
"Sanduíche de pão francês, c/ presunto, queijo muçarela, alface e tomate",1 unidade média,140,33,287,140
"Sanduíche de pão sirio com queijo minas, alface e tomate",1 unidade média,130,38,256,140
Sanduiche de peito de peru (Subway®),1 porção de 15cm,219,47,289,141
Sanduiche de presunto (Subway®),1 porção de 15cm,204,46,273,141
Sanduiche de rosbife (Subway®),1 porção de 15cm,222,45,304,141
"Sanduíche misto quente (pão forma integral, c/ presunto e queijo muçarela)",1 unidade,110,26,257,141
"Sanduíche queijo quente (pão branco tradicional, queijo muçarela e manteiga)",1 unidade,90,24,299,141
Sanduíche Salada de frango (Bob’s®),1 unidade,0,31,331,141
Sanduiche Steak churrasco (Subway®),1 porção de 15cm,226,51,378,141
Sanduiche Subway Club (Subway®),1 porção de 15cm,260,47,335,141
Sanduiche vegetariano Sub Veg (Subway®),1 porção de 15cm,283,48,654,141
"Sanduíche, cheese salada (hambúrguer bovino grelhado c/ pão hambúrguer, queijo prato, alface e tomate",1 unidade,210,49,499,141
"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer, alface e tomate",1 unidade,160,47,334,141
"Sanduíche, hambúrguer de grão de bico (pão vegano), alface e tomate, c/ maionese vegana",1 unidade,100,32,236,141
"Sanduíche, pão forma tradicional, atum em conserva e maionese",1 unidade,100,28,225,141
"Sangria (vinho tinto, água com gás e frutas)",1 copo,150,15,140,141
Sapoti,1 unidade pequena,50,13,48,141
Saquê ou Sakê,1 dose,50,3,67,141
Sarapatel,1 porção,100,1,123,142
Sardinha assada,1 porção,100,0,164,142
Sardinha enlatada em molho de tomate,1 unidade média,41,0,108,142
Sardinha enlatada em óleo,1 unidade média,41,0,116,142
Sardinha frita,1 unidade média,100,0,257,142
Sashimi de atum,1 fatia,10,0,12,142
Sashimi de salmão,1 fatia,10,0,15,142
Semente de abóbora,1 colher de sopa rasa,7,1,32,142
Semente de chia,1 colher de sopa,15,6,66,142
Semente de Gergelim,1 colher de sopa cheia,6,1,37,142
Semente de girassol com casca,1 colher de sopa cheia,5,1,33,142
Semente de girassol sem casca,1 colher de sopa cheia,5,1,31,142
Semente de linhaça dourada,1 colher de sobremesa rasa,8,3,42,142
Semente de linhaça marrom,1 colher de sobremesa rasa,8,0,32,142
Semente de linhaça moída,1/2 colher de sopa cheia,8,0,32,142
Sex on the beach,1 coquetel,225,30,326,142
Shimeji / Shitake,1 porção,100,6,190,142
Shoyu light,1 colher de sopa,12,"1,4",7,142
Siri cozido,1 unidade pequena,16,0,15,142
Siriguela,1 unidade,20,40,15,142
Snacks de soja Good Soy Believe® (sabores),1 pacote,25,17,100,142
Soja cozida,1 colher de servir cheia,28,4,44,142
Sopa caldo verde,1 concha média,130,8,104,142
"Sopa canja (frango, peito, c/ cenoura, batata, tomate e aipo (salsão), arroz polido)",1 concha média,130,8,90,142
Sopa de cebola (caldo),1 concha média,140,8,38,143
Sopa de cogumelo (caldo),1 concha média,130,2,10,143
Sopa de creme de ervilha industrializada,1 concha média,130,6,37,143
Sopa de ervilha,1 concha média,130,26,165,143
Sopa de espinafre (creme),1 concha média,130,6,64,143
Sopa de feijão,1 concha média,130,14,71,143
Sopa de feijão branco (Cassoulet),1 concha média,100,9,171,143
Sopa de feijão com macarrão,1 concha média,130,30,211,143
Sopa de inhame,1 concha média,130,13,70,143
Sopa de legumes,1 concha média,130,12,73,143
Sopa de legumes com carne,1 concha média,130,4,103,143
Sopa de legumes com frango,1 concha média,130,5,81,143
Sopa de lentilha,1 concha média,130,16,108,143
Sopa de macarrão com vegetais,1 concha média,130,15,79,143
Sopa de mandioca (aipim / macaxeira),1 concha média,130,18,85,143
Sopa de milho (fubá),1 concha média,130,17,90,143
Sopa italiana Minestrone,1 concha média,160,14,74,143
Sorvete (casquinha) baunilha (Bob’s)®,1 unidade,0,28,176,143
Sorvete (média),1 bola média,60,19,161,143
Sorvete de casquinha baunilha (Mc’Donalds)®,1 unidade,0,31,185,143
Sorvete de casquinha chocolate (Mc’Donalds)®,1 unidade,0,31,192,143
Sorvete de casquinha mista (Mc’Donalds),1 unidade,0,31,182,143
Sorvete de creme Kibon ®,1 bola média,60,14,102,143
Sorvete diet/light (média),1 bola média,60,10,62,143
Sorvete Garoto chocolate ao leite®,1 bola média,60,17,123,144
Sorvete Garoto chocolate branco e negresco®,1 bola média,60,12,112,144
Sorvete Gelato Cioccolato diet Bacio di Late®,1 bola,60,11,90,144
Sorvete Gelato Cioccolato diet Bacio di Late®,1 bola,60,11,90,144
Sorvete Kibon Cremosíssimo Napolitano®,1 bola média,60,16,116,144
Sorvete Kibon Deliciosamente Vegano®,1 pote,800,24,180,144
Sorvete light sabor baunilha La Basque®,1 bola média,60,13,86,144
Sorvete light sabor chocolate La Basque®,1 bola média,60,13,90,144
Sorvete linha zero Itália® sabor choco chips,1 bola,60,6,82,144
Sorvete linha zero Itália® sabor choco chips,1 bola,60,6,82,144
Sorvete linha zero Itália® sabor chocolate,1 bola,60,15,102,144
Sorvete linha zero Itália® sabor chocolate,1 bola,60,15,102,144
Sorvete linha zero Itália® sabor chocolate belga,1 bola,60,4,78,144
Sorvete linha zero Itália® sabor chocolate belga,1 bola,60,4,78,144
Sorvete linha zero Itália® sabor coco,1 bola,60,14,108,144
Sorvete linha zero Itália® sabor coco,1 bola,60,14,108,144
Sorvete linha zero Itália® sabor flocos,1 bola,60,6,81,144
Sorvete linha zero Itália® sabor flocos,1 bola,60,6,81,144
Sorvete linha zero Itália® sabor manga,1 bola,60,12,50,144
Sorvete linha zero Itália® sabor manga,1 bola,60,12,50,145
Sorvete linha zero Itália® sabor morango,1 bola,60,12,88,145
Sorvete linha zero Itália® sabor morango,1 bola,60,12,88,145
Sorvete linha zero Itália® sabor pistache,1 bola,60,14,79,145
Sorvete linha zero Itália® sabor pistache,1 bola,60,14,79,145
Sorvete linha zero Itália® sabor tapioca,1 bola,60,6,83,145
Sorvete linha zero Itália® sabor tapioca,1 bola,60,6,83,145
Sorvete linha zero Itália® sabor vanilla,1 bola,60,4,63,145
Sorvete linha zero Itália® sabor vanilla,1 bola,60,4,63,145
Sorvete Moça brigadeiro®,1 bola média,60,19,112,145
Sorvete Sensação®,1 bola média,60,17,120,145
Sorvete zero açúcar Chicabon Kibon®,1 bola média,60,9,66,145
Sorvete zero açúcar sabor chocolate LosLos®,1 bola média,60,16,106,145
Sorvete zero açúcar sabor Frutas Vermelhas Eskimó®,1 bola média,60,13,81,145
Sorvete zero açúcar sabor napoliano Nestlé®,1 bola média,60,4,71,145
Sorvete zero Chicabon ®,1 bola média,60,9,66,145
Sorvete zero sabor napolitano Frosty®,1 bola média,60,52,8,145
Stacker Duplo Bacon (Burguer King)®,1 unidade,0,20,157,145
Strogonofe de pinhão com shitake,1 porção,250,48,374,145
Strogonoff de carne,1 colher de sopa cheia,25,1,42,145
Strogonoff de frango,1 colher de sopa cheia,25,1,38,146
Strudel de maçã,1 fatia pequena,50,21,137,146
Strudel de queijo,1 fatia fina,76,22,188,146
Suco de abacaxi com açúcar,1 copo duplo cheio,240,27,112,146
Suco de abacaxi sem açúcar,1 copo duplo cheio,240,10,41,146
Suco de açaí com xarope,1 copo,200,60,365,146
Suco de acerola com açúcar,1 copo duplo cheio,240,15,62,146
Suco de acerola com laranja sem açúcar,1 copo,200,25,113,146
Suco de acerola sem açúcar,1 copo duplo cheio,240,3,15,146
Suco de caju sem açúcar,1 copo,200,3,11,146
Suco de graviola sem açúcar,1 copo,200,7,35,146
Suco de laranja 100% Maratá,1 copo,200,21,84,146
Suco de laranja diluído (meio a meio) sem açúcar,1 copo,200,11,45,146
Suco de laranja e cenoura sem açúcar,1 copo,200,15,66,146
Suco de laranja sem açúcar,1 copo,200,21,90,146
Suco de maçã Campo Largo®,1 copo,200,23,93,146
Suco de maçã Natural One®,1 copo,200,24,96,146
Suco de maçã Yakult® (100% suco),1 unidade,200,20,80,146
Suco de mamão com laranja sem açúcar,1 copo,200,26,110,146
Suco de mamão sem açúcar,1 copo,200,11,46,146
Suco de manga sem açúcar,1 copo,200,10,40,146
Suco de maracujá com açúcar,1 copo,200,12,52,146
Suco de melancia sem açúcar,1 copo,200,19,88,146
Suco de melão com açúcar,1 copo duplo cheio,240,19,77,147
Suco de morango com açúcar,1 copo duplo cheio,240,19,83,147
Suco de morango sem açúcar,1 copo duplo cheio,240,9,38,147
Suco de pessego néctar (com açúcar),1 copo duplo cheio,240,33,134,147
Suco de pêssego sem açúcar,1 copo,200,7,32,147
Suco de tangerina (mexerica) sem açúcar,1 copo,200,18,86,147
Suco de tomate sem açúcar,1 copo,200,9,38,147
Suco de uva integral,1 copo duplo cheio,240,35,146,147
Suco de uva Kapo®,1 caixinha,200,19,79,147
Suco Del Valle® (média),1 copo,200,28,112,147
Suco Del Valle® light (média),1 copo,200,6,24,147
Suco Maguary® sem açúcar,1 copo,200,3,14,147
Suco natural de maracujá sem açúcar,1 copo,200,2,14,147
"Suco natural, melão s/ açúcar",1 copo duplo cheio,240,7,31,147
Suco Tang®,1 copo,200,21,84,147
Sucrilhos Kelloggs® Cereal Matinal,1 xícara,30,26,109,147
Suflê de alho poró com molho branco e parmesão,1 colher de servir,60,8,123,147
Suflê de batata baroa com molho branco e parmesão,1 colher de servir,60,8,83,147
Suflê de frango com molho branco e parnmesão,1 colher de servir,60,5,97,147
Sundae caramelo (Mc’Donalds) ®,1 unidade,0,48,310,147
Sundae chocolate (Bob’s) ®,1 unidade,172,80,463,147
Sundae Chocolate (Bob’s)®,1 unidade,0,49,331,147
Sundae chocolate (Mc’Donalds) ®,1 unidade,0,44,311,148
Sundae Kibon®,1 unidade,145,41,266,148
Sundae morango (Mc’Donalds) ®,1 unidade,0,46,290,148
Sundae Morango (Bob’s)®,1 unidade,0,62,389,148
Super Coffee® Beijinho,1 dose,10,2,52,148
Super Coffee® Chocolate,1 dose,10,1,50,148
Super Coffee® Doce de Leite,1 dose,10,1,45,148
Super Coffee® Língua de Gato,1 dose,10,2,49,148
Super Coffee® Original,1 dose,10,1,49,148
Super Coffee® Paçoca,1 dose,10,2,52,148
Super Coffee® Pistache,1 dose,10,2,54,148
Super Coffee® Vanilla Latte,1 dose,10,1,50,148
Sushi de Atum,1 unidade,30,7,40,148
Sushi de Salmão,1 unidade,30,7,38,148
Sushi de salmão com manga e pepino,1 unidade média,30,7,40,148
Sushi de salmão e cream cheese,1 unidade média,30,7,51,148
Sushi Kappamaki,1 unidade média,15,5,17,148
Suspiro,1 unidade média,10,9,37,148
Suspiro Diet (Merenguinho®),1 unidade,2,1,5,148
Suspiro zero açúcar Doce Amor®,8 unidades,10,5,18,148
Suspiro zero açúcar Doce Amor®,1 unidade,1,1,2,148
Suspiro zero açúcar WheyViv®,1 pacotinho,25,6,66,148
Suspiro zero açúcar WheyViv®,1 unidade,1,0,2,148
Sustagem® Kids (média),1 colher de sopa,9,8,35,148
Sustagen®,1 colher sopa,10,6,38,148
Tabule,1 colher de servir,50,"5,3",28,149
Taco de Carne Moída Soft- Taco Bell ®,1 unidade,92,17,207,149
Taco de Frango Soft - Taco Bell ®,1 unidade,92,17,167,149
Tainha peixe filé cozido,1 posta pequena,100,0,189,149
Tâmara seca,1 unidade,7,6,22,149
Tamarindo,1 unidade média,8,6,22,149
Tambaqui recheado com castanha do pará e abricó,1 filé,156,3,236,149
Tangerina ponkã,1 unidade media,135,13,54,149
"Tangerina, Bergamota ou Mexerica",1 unidade grande,100,15,58,149
Tapioca com manteiga e sal,1 unidade pequena,80,50,282,149
"Tapioca, c/ leite condensado e coco",1 unidade média,110,67,344,149
"Tapioca, c/ queijo coalho e muçarela",1 unidade média,110,57,327,149
Tatu (carne),1 porção,100,0,172,149
Temaki,1 unidade,90,20,149,149
Temaki de Atum,1 unidade,100,18,157,149
Temaki de Salmão,1 unidade,100,18,190,149
Tempero Maggi fondor ®,1 colher de chá,5,1,3,149
Tender de porco bola,1 fatia média,35,0,42,149
Tequila,1 dose,50,0,110,149
"Terrine de legumes, com macaúba e major-gomes",1 porção pequena,50,2,60,149
Tiramissu,1 fatia média,100,24,283,149
Tiramissu gelato sem açúcar,1 fatia média,100,13,112,149
Toddy original pó ®,2 colheres de sopa,20,19,80,149
Toddynho ®,1 caixinha,200,27,167,149
Toddynho Levinho®,1 caixinha,200,15,89,149
Tofu,1 fatia média,40,1,26,149
Tomate,1 unidade pequena,50,2,10,149
"Tomate, molho industrializado",1 porção,100,8,38,150
"Tomate, purê industrializado",1 colher de sopa,20,1,3,150
Top sundae caramelo (Mc’ Donalds) ®,1 unidade,0,67,401,150
Top sundae chocolate (Mc’ Donalds) ®,1 unidade,0,60,396,150
Top sundae morango (Mc’ Donalds) ®,1 unidade,0,61,354,150
Toranja,1 unidade pequena,120,11,48,150
Torrada de pão francês caseira,1 unidade,8,6,29,150
Torrada Integral Bauducco,1 unidade,10,6,35,150
Torrada Magic Toast® cacau e cereais,6 biscoitos,18,14,66,150
Torrada Magic Toast® integral,6 biscoitos,18,12,64,150
Torrada Magic Toast® light em açúcares,6 biscoitos,18,14,65,150
Torrada Magic Toast® multicereal,6 biscoitos,18,12,60,150
Torrada Magic Toast® peito de peru,6 biscoitos,18,17,60,150
Torresmo,1 escumadeira,90,0,541,150
Torresmo,1 fatia,20,0,109,150
Torrone com amendoim Montevérgine ®,1/3 de barra grande,30,20,113,150
Torrone com amendoim Montevérgine ®,1 unidade pequena,10,6,40,150
Torta Churros Tortamania®,1 fatia fina,60,39,215,150
Torta de banana (Mc’ Donalds)®,1 unidade,0,26,198,150
Torta de batata com carne,1 fatia fina,80,8,116,150
Torta de batata com carne,1 fatia média,80,8,116,150
Torta de frango,1 fatia média,100,15,207,150
Torta de limão,1 fatia pequena,50,25,181,150
Torta de maçã (Mc’ Donalds) ®,1 unidade,0,29,205,151
Torta de morango,1 fatia pequena,60,29,150,151
Torta Floresta Negra Tortamania®,1 fatia pequena,60,24,163,151
Torta mesclada de morango Tortamania®,1 fatia fina,60,29,150,151
Torta Mousse de chocolate com raspas de chocolate Sadia®,1 Fatia fina,50,21,198,151
Torta Mousse de maracujá Sadia®,1 fatia fina,50,18,96,151
Tortilha com farinha de milho,1 unidade média,100,45,214,151
Toucinho cru,1 porção,100,0,593,151
"Toucinho defumado (bacon), frito, c/ alho e alecrim",1 fatia fina,15,1,98,151
Tremoço cru,1 colher de sopa cheia,15,6,49,151
Tremoço em conserva,1 colher de sopa,20,3,21,151
Trigo grão cru,1 colher de sopa,20,15,67,151
Trigo para quibe cozido,1 colher de sopa,25,5,19,151
"Trigo, bolo de",1 fatia média,60,36,203,151
"Trigo, farelo de",1 colher de sopa rasa,10,2,27,151
"Trigo, gérmen de",1 colher de sopa cheia,10,5,37,151
Trufa de chocolate com cereja,1 unidade grande,50,29,246,151
Trufa de chocolate com cereja e licor caseiro,1 unidade grande,50,29,243,151
Tucumã in natura,1 unidade,50,13,130,151
Tucunaré (filé cru),1 pedaço médio,120,0,113,151
Tutu de feijão,1 colher de servir cheia,60,9,92,151
Uísque,1 dose,50,0,105,151
Umbu,1 unidade,30,3,11,152
Umbu (Polpa),1 unidade,100,8,36,152
Uramaki Filadelfia,1 unidade,20,16,81,152
Uramaki califórnia,1 unidade,20,10,47,152
Uramaki salmão,1 unidade,20,4,25,152
Uva Rubi,1 unidade,8,1,4,152
Uva Vitória,1 cacho pequeno,100,17,67,152
Uva itália (uva verde),1 unidade,8,1,5,152
Uva itália (uva verde),1 colher de sopa,30,"0,6",20,152
Uva Niágara - Comum,1 cacho pequeno,100,17,68,152
Uva passa Branca,1 colher de sopa,15,12,45,152
Uva passa escura,1 colher de sopa,15,12,44,152
Uva Thompson/Crinson,1 unidade,8,1,4,152
"Uva, geléia de",1 colher de sopa cheia,20,12,49,152
Uxi (polpa),1 porção média,100,38,252,152
Vaca atolada,1 concha média cheia,175,79,639,152
Vagem cozida,1 colher de sopa cheia,20,2,7,152
Vatapá,1 unidade,100,10,254,152
Vieiras,2 unidades grandes,30,1,26,152
Vinagre,1 colher de sopa cheia,15,0,2,152
Vinagre Balsâmico,1 colher de sopa cheia,15,3,14,152
Vinagrete,1 colher de sopa cheia,30,1,23,152
Vinho branco demisec,1 taça,150,5,21,152
Vinho branco seco,1 taça,150,1,99,152
Vinho Espumante Brut,1 taça,150,3,135,152
Vinho Espumante doce,1 taça,150,8,147,152
Vinho quente,1 copo,150,24,98,152
Vinho rosé,1 taça,150,2,107,153
Vinho Tinto Seco,1 taça,150,2,108,153
Vinho Tinto Suave,1 taça,150,5,111,153
Vitamina de Frutas com leite e açúcar,1 copo duplo cheio,240,36,223,153
Vitamina de Frutas com leite sem açúcar,1 copo duplo cheio,240,20,160,153
Vitela Assada,1 fatia grande,100,0,160,153
Vodka,1 dose,50,0,113,153
Waffer- média sabores,1 unidade,7,3,21,153
Waffle tradicional Forno de Minas®,1 1/2 unidade,50,19,161,153
Wasabi,1 colher de chá,5,2,13,153
Waxy Maze D-R (Black Skull),1 colher medida,40,38,152,153
Whey protein concentrado em pó Marcas,1 dosador,30,3,110,153
Whey protein hidrolisado em pó,1 dosador,30,2,105,153
Whey protein isolado em pó,1 dosador,30,2,112,153
Whisky (30 mL) + Energetico Comum (170 ml),1 copo,200,25,160,153
Whisky (30 mL) + Energético Zero (170 mL),1 copo,200,0,70,153
Whisky (39%),1 dose,50,0,137,153
Whopper JR® com queijo (Burguer King),1 unidade,0,31,464,153
Whopper® com queijo (Burguer King),1 unidade,0,52,757,153
Whopper® duplo com queijo (Burguer King),1 unidade,0,52,978,153
Wrap Chia e quinoa Pullman® (Rap 10),1 unidade,40,17,113,153
Wrap de salmão (Salad Creations),1 unidade,300,44,377,153
Wrap fit (Rap 10 Fit),1 unidade,33,17,83,154
Wrap Fit Pullman® (Rap 10),1 unidade,40,21,52,154
Wrap integral (Rap 10 fibras),1 unidade,33,14,90,154
Wrap integral Tá Pronto Wickbold®,1 unidade,40,17,98,154
Wrap original Tá Pronto Wickbold®,1 unidade,40,22,112,154
Wrap Proteina (Wickbold),1 e 1/2 unidade,50,22,132,154
Wrap sem Glúten (Casa Rigani),1 unidade,40,17,84,154
Wrap tradicional (Rap 10 original),1 unidade,33,15,90,154
Xilitol,1 colher de chá,3,3,8,154
Xilitol,1 Colher de Sopa,15,15,36,154
Xilitol,1 porção,100,99,238,154
Xinxim de galinha,1 porção,150,1,358,154
Yacon (batata),1 unidade/porção,100,12,44,154
Yakimeshi,1 porção,100,21,134,154
Yakisoba,1 porção média,120,22,146,154
Yakult,1 unidade,80,11,51,154
Yakult 40,1 unidade,80,11,51,154
Yakult 40 light,1 unidade,80,"3,5",30,154
YoPRO Bebida Láctea UHT 15g de proteínas®,1 unidade,250,19,158,154
YoPRO Bebida Láctea UHT 25g de proteínas®,1 unidade,250,13,188,154
